date,호텔신라주가
2022-04-10,1.71393
2022-04-11,17.23359
2022-04-12,15.93828
2022-04-13,17.06483
2022-04-14,18.13878
2022-04-15,17.01003
2022-04-16,2.00543
2022-04-17,1.77311
2022-04-18,22.16718
2022-04-19,19.95353
2022-04-20,18.11028
2022-04-21,17.24893
2022-04-22,14.8709
2022-04-23,1.72051
2022-04-24,1.48818
2022-04-25,15.80677
2022-04-26,16.96182
2022-04-27,15.86595
2022-04-28,17.20729
2022-04-29,17.89111
2022-04-30,1.78187
2022-05-01,1.37859
2022-05-02,15.2413
2022-05-03,14.17393
2022-05-04,14.81173
2022-05-05,2.04707
2022-05-06,14.87748
2022-05-07,1.60654
2022-05-08,1.27778
2022-05-09,15.34212
2022-05-10,16.02375
2022-05-11,15.58979
2022-05-12,15.12514
2022-05-13,16.17717
2022-05-14,1.71831
2022-05-15,1.20545
2022-05-16,14.71967
2022-05-17,14.25283
2022-05-18,14.27913
2022-05-19,14.17393
2022-05-20,15.53938
2022-05-21,1.57147
2022-05-22,1.29531
2022-05-23,14.01393
2022-05-24,12.97724
2022-05-25,13.25559
2022-05-26,13.27094
2022-05-27,14.20462
2022-05-28,1.589
2022-05-29,1.35449
2022-05-30,16.76894
2022-05-31,15.72787
2022-06-01,1.9857
2022-06-02,12.49726
2022-06-03,15.59417
2022-06-04,1.84982
2022-06-05,1.27997
2022-06-06,1.65037
2022-06-07,14.04462
2022-06-08,14.23749
2022-06-09,12.56739
2022-06-10,11.42988
2022-06-11,1.24709
2022-06-12,1.02134
2022-06-13,12.91149
2022-06-14,13.68298
2022-06-15,13.22053
2022-06-16,13.46819
2022-06-17,12.83917
2022-06-18,1.24928
2022-06-19,1.05203
2022-06-20,13.51203
2022-06-21,13.06272
2022-06-22,13.92407
2022-06-23,13.14601
2022-06-24,14.16955
2022-06-25,1.46407
2022-06-26,1.04984
2022-06-27,14.49612
2022-06-28,12.93341
2022-06-29,16.31525
2022-06-30,14.53776
2022-07-01,14.53118
2022-07-02,1.63503
2022-07-03,1.15065
2022-07-04,14.19366
2022-07-05,13.64134
2022-07-06,13.26436
2022-07-07,13.12628
2022-07-08,12.18822
2022-07-09,0.98847
2022-07-10,0.86135
2022-07-11,11.88795
2022-07-12,10.67154
2022-07-13,11.52632
2022-07-14,11.29399
2022-07-15,11.30495
2022-07-16,1.19449
2022-07-17,1.04984
2022-07-18,15.30267
2022-07-19,11.96247
2022-07-20,12.12904
2022-07-21,12.76684
2022-07-22,11.77179
2022-07-23,1.04107
2022-07-24,0.97312
2022-07-25,11.39701
2022-07-26,10.73729
2022-07-27,10.27045
2022-07-28,11.28742
2022-07-29,11.97343
2022-07-30,1.21421
2022-07-31,0.85915
2022-08-01,13.35203
2022-08-02,11.02003
2022-08-03,11.26769
2022-08-04,12.49945
2022-08-05,12.03699
2022-08-06,1.09148
2022-08-07,0.83505
2022-08-08,11.42769
2022-08-09,10.81181
2022-08-10,9.77074
2022-08-11,12.8041
2022-08-12,11.30495
2022-08-13,0.96217
2022-08-14,1.14627
2022-08-15,1.02792
2022-08-16,11.99097
2022-08-17,10.69127
2022-08-18,9.968
2022-08-19,9.32582
2022-08-20,0.94025
2022-08-21,0.76491
2022-08-22,9.0913
2022-08-23,8.98829
2022-08-24,10.57949
2022-08-25,15.54596
2022-08-26,12.32849
2022-08-27,0.94025
2022-08-28,0.74957
2022-08-29,10.18059
2022-08-30,12.41397
2022-08-31,13.043
2022-09-01,10.82058
2022-09-02,10.09512
2022-09-03,0.81532
2022-09-04,0.85915
2022-09-05,9.78608
2022-09-06,9.76855
2022-09-07,8.81295
2022-09-08,9.27979
2022-09-09,0.77368
2022-09-10,0.63998
2022-09-11,0.51286
2022-09-12,0.7671
2022-09-13,12.21233
2022-09-14,10.00745
2022-09-15,10.90825
2022-09-16,10.1521
2022-09-17,1.10463
2022-09-18,0.82409
2022-09-19,10.56853
2022-09-20,14.11256
2022-09-21,13.3345
2022-09-22,11.87042
2022-09-23,10.99811
2022-09-24,1.15285
2022-09-25,0.83505
2022-09-26,11.3181
2022-09-27,10.86661
2022-09-28,11.03537
2022-09-29,11.87042
2022-09-30,9.808
2022-10-01,0.88765
2022-10-02,0.64217
2022-10-03,1.02134
2022-10-04,11.73234
2022-10-05,10.58606
2022-10-06,11.67316
2022-10-07,11.65563
2022-10-08,1.15285
2022-10-09,0.87888
2022-10-10,1.10901
2022-10-11,10.15648
2022-10-12,11.22386
2022-10-13,9.81896
2022-10-14,11.09016
2022-10-15,1.07394
2022-10-16,0.8745
2022-10-17,10.54661
2022-10-18,11.40139
2022-10-19,10.91482
2022-10-20,8.65076
2022-10-21,8.09845
2022-10-22,0.75614
2022-10-23,0.82847
2022-10-24,9.72471
2022-10-25,8.67926
2022-10-26,10.03813
2022-10-27,10.69127
2022-10-28,9.68526
2022-10-29,1.01696
2022-10-30,0.67724
2022-10-31,32.27764
2022-11-01,17.94809
2022-11-02,15.58979
2022-11-03,14.67584
2022-11-04,17.60618
2022-11-05,1.97694
2022-11-06,1.40709
2022-11-07,15.25446
2022-11-08,15.80458
2022-11-09,16.31087
2022-11-10,13.466
2022-11-11,20.14859
2022-11-12,2.35172
2022-11-13,1.69859
2022-11-14,15.97115
2022-11-15,14.61666
2022-11-16,15.00679
2022-11-17,11.77398
2022-11-18,11.39701
2022-11-19,1.0849
2022-11-20,0.77368
2022-11-21,9.81457
2022-11-22,9.90663
2022-11-23,10.59921
2022-11-24,10.34497
2022-11-25,8.78884
2022-11-26,0.97093
2022-11-27,0.7408
2022-11-28,8.5609
2022-11-29,10.97181
2022-11-30,11.36632
2022-12-01,12.61561
2022-12-02,14.25064
2022-12-03,1.40051
2022-12-04,1.29531
2022-12-05,24.03892
2022-12-06,18.10809
2022-12-07,15.73225
2022-12-08,13.8364
2022-12-09,15.2172
2022-12-10,1.70297
2022-12-11,1.30627
2022-12-12,12.71424
2022-12-13,12.75369
2022-12-14,13.71586
2022-12-15,10.67154
2022-12-16,15.22596
2022-12-17,1.62188
2022-12-18,1.24709
2022-12-19,11.92083
2022-12-20,11.3707
2022-12-21,12.16192
2022-12-22,13.8101
2022-12-23,13.78599
2022-12-24,1.4049
2022-12-25,1.06079
2022-12-26,11.76522
2022-12-27,25.77258
2022-12-28,23.9118
2022-12-29,17.16345
2022-12-30,4.78455
2022-12-31,1.15723
2023-01-01,1.08929
2023-01-02,13.98763
2023-01-03,15.63143
2023-01-04,15.38377
2023-01-05,19.49984
2023-01-06,19.25437
2023-01-07,2.10187
2023-01-08,1.59996
2023-01-09,19.58751
2023-01-10,17.79029
2023-01-11,15.88129
2023-01-12,14.11256
2023-01-13,16.60456
2023-01-14,1.65475
2023-01-15,1.51448
2023-01-16,14.91474
2023-01-17,13.5449
2023-01-18,13.91531
