date,CI보험
2023-01-02,8.05182
2023-01-03,9.90282
2023-01-04,10.41184
2023-01-05,10.73577
2023-01-06,8.97732
2023-01-07,5.55298
2023-01-08,4.16473
2023-01-09,11.33734
2023-01-10,11.56871
2023-01-11,11.75381
2023-01-12,11.19851
2023-01-13,8.32947
2023-01-14,6.8024
2023-01-15,4.44238
2023-01-16,10.64322
2023-01-17,12.67931
2023-01-18,12.35539
2023-01-19,9.94909
2023-01-20,9.85654
2023-01-21,4.44238
2023-01-22,4.90513
2023-01-23,5.13651
2023-01-24,5.22906
2023-01-25,13.09578
2023-01-26,14.43776
2023-01-27,11.56871
2023-01-28,5.32161
2023-01-29,5.36788
2023-01-30,11.29106
2023-01-31,10.45812
2023-02-01,12.81813
2023-02-02,11.89264
2023-02-03,10.64322
2023-02-04,4.67376
2023-02-05,5.22906
2023-02-06,12.67931
2023-02-07,13.97501
2023-02-08,11.61499
2023-02-09,11.61499
2023-02-10,11.84636
2023-02-11,5.64553
2023-02-12,6.29338
2023-02-13,11.56871
2023-02-14,14.06756
2023-02-15,12.54049
2023-02-16,11.89264
2023-02-17,13.83618
2023-02-18,5.59925
2023-02-19,5.55298
2023-02-20,12.77186
2023-02-21,14.66913
2023-02-22,10.64322
2023-02-23,14.57658
2023-02-24,11.93891
2023-02-25,6.01573
2023-02-26,5.09023
2023-02-27,10.78204
2023-02-28,8.19065
2023-03-01,5.55298
2023-03-02,9.39379
2023-03-03,9.20869
2023-03-04,5.22906
2023-03-05,5.09023
2023-03-06,9.81027
2023-03-07,11.42989
2023-03-08,10.92086
2023-03-09,11.56871
2023-03-10,11.10596
2023-03-11,4.76631
2023-03-12,4.90513
2023-03-13,11.75381
2023-03-14,11.70754
2023-03-15,12.67931
2023-03-16,12.07774
2023-03-17,11.29106
2023-03-18,6.20083
2023-03-19,4.53493
2023-03-20,10.04164
2023-03-21,13.69736
2023-03-22,12.30911
2023-03-23,12.49421
2023-03-24,10.87459
2023-03-25,3.88708
2023-03-26,4.53493
2023-03-27,11.19851
2023-03-28,11.38361
2023-03-29,12.72559
2023-03-30,10.64322
2023-03-31,7.77417
2023-04-01,3.56316
2023-04-02,3.70198
2023-04-03,7.86672
2023-04-04,9.30124
2023-04-05,11.01341
2023-04-06,9.76399
2023-04-07,9.16242
2023-04-08,4.25728
2023-04-09,3.33179
2023-04-10,11.52244
2023-04-11,11.15224
2023-04-12,9.85654
2023-04-13,10.55067
2023-04-14,8.6534
2023-04-15,4.11846
2023-04-16,3.65571
2023-04-17,10.59694
2023-04-18,11.19851
2023-04-19,10.92086
2023-04-20,11.52244
2023-04-21,10.73577
2023-04-22,5.83063
2023-04-23,3.84081
2023-04-24,11.66126
2023-04-25,12.54049
2023-04-26,12.17029
2023-04-27,12.77186
2023-04-28,9.20869
2023-04-29,4.16473
2023-04-30,3.37806
2023-05-01,4.48866
2023-05-02,7.86672
2023-05-03,9.44007
2023-05-04,8.74595
2023-05-05,3.88708
2023-05-06,3.56316
2023-05-07,4.67376
2023-05-08,9.20869
2023-05-09,11.84636
2023-05-10,12.30911
2023-05-11,10.18047
2023-05-12,11.52244
2023-05-13,4.48866
2023-05-14,4.02591
2023-05-15,10.78204
2023-05-16,12.07774
2023-05-17,10.13419
2023-05-18,16.10365
2023-05-19,12.21656
2023-05-20,6.2471
2023-05-21,4.11846
2023-05-22,10.64322
2023-05-23,9.62517
2023-05-24,13.41971
2023-05-25,10.41184
2023-05-26,9.67144
