date,부동산정보
2022-11-26,23.37662
2022-11-27,21.64502
2022-11-28,35.06493
2022-11-29,32.90043
2022-11-30,32.03463
2022-12-01,30.73593
2022-12-02,25.97402
2022-12-03,12.55411
2022-12-04,19.91341
2022-12-05,29.87012
2022-12-06,32.46753
2022-12-07,32.46753
2022-12-08,38.09523
2022-12-09,30.73593
2022-12-10,19.91341
2022-12-11,15.58441
2022-12-12,35.49783
2022-12-13,37.66233
2022-12-14,34.19913
2022-12-15,37.22943
2022-12-16,32.46753
2022-12-17,16.88311
2022-12-18,29.87012
2022-12-19,36.79653
2022-12-20,28.13852
2022-12-21,42.42424
2022-12-22,33.76623
2022-12-23,29.43722
2022-12-24,9.9567
2022-12-25,13.41991
2022-12-26,33.33333
2022-12-27,32.90043
2022-12-28,36.36363
2022-12-29,32.90043
2022-12-30,27.70562
2022-12-31,15.58441
2023-01-01,25.54112
2023-01-02,35.49783
2023-01-03,38.09523
2023-01-04,36.36363
2023-01-05,35.49783
2023-01-06,39.82683
2023-01-07,22.94372
2023-01-08,22.07792
2023-01-09,40.25974
2023-01-10,41.12554
2023-01-11,33.33333
2023-01-12,32.46753
2023-01-13,40.25974
2023-01-14,28.13852
2023-01-15,29.43722
2023-01-16,41.99134
2023-01-17,33.76623
2023-01-18,38.09523
2023-01-19,37.66233
2023-01-20,23.37662
2023-01-21,20.34632
2023-01-22,15.15151
2023-01-23,29.87012
2023-01-24,25.97402
2023-01-25,51.94805
2023-01-26,45.45454
2023-01-27,42.42424
2023-01-28,25.54112
2023-01-29,27.27272
2023-01-30,51.94805
2023-01-31,49.78354
2023-02-01,47.61904
2023-02-02,50.64935
2023-02-03,45.45454
2023-02-04,33.76623
2023-02-05,31.60173
2023-02-06,54.97835
2023-02-07,52.81385
2023-02-08,54.11255
2023-02-09,43.29004
2023-02-10,33.76623
2023-02-11,37.66233
2023-02-12,29.87012
2023-02-13,49.78354
2023-02-14,47.18614
2023-02-15,43.29004
2023-02-16,48.91774
2023-02-17,54.11255
2023-02-18,20.34632
2023-02-19,31.60173
2023-02-20,54.97835
2023-02-21,44.15584
2023-02-22,35.93073
2023-02-23,46.75324
2023-02-24,47.18614
2023-02-25,20.34632
2023-02-26,25.54112
2023-02-27,43.72294
2023-02-28,37.66233
2023-03-01,26.83982
2023-03-02,41.55844
2023-03-03,53.67965
2023-03-04,35.93073
2023-03-05,21.64502
2023-03-06,36.79653
2023-03-07,41.99134
2023-03-08,44.58874
2023-03-09,27.27272
2023-03-10,40.25974
2023-03-11,31.60173
2023-03-12,25.97402
2023-03-13,39.82683
2023-03-14,47.18614
2023-03-15,44.15584
2023-03-16,44.58874
2023-03-17,32.46753
2023-03-18,22.07792
2023-03-19,23.37662
2023-03-20,41.55844
2023-03-21,42.85714
2023-03-22,47.18614
2023-03-23,50.21645
2023-03-24,35.49783
2023-03-25,24.24242
2023-03-26,20.34632
2023-03-27,41.12554
2023-03-28,41.99134
2023-03-29,34.19913
2023-03-30,34.19913
2023-03-31,37.66233
2023-04-01,39.82683
2023-04-02,22.07792
2023-04-03,48.48484
2023-04-04,46.75324
2023-04-05,45.02164
2023-04-06,38.09523
2023-04-07,38.09523
2023-04-08,23.37662
2023-04-09,21.64502
2023-04-10,31.60173
2023-04-11,43.72294
2023-04-12,41.12554
2023-04-13,41.12554
2023-04-14,40.69264
2023-04-15,36.79653
2023-04-16,29.43722
2023-04-17,45.02164
2023-04-18,47.61904
2023-04-19,48.05194
2023-04-20,43.72294
2023-04-21,48.05194
2023-04-22,31.60173
2023-04-23,31.16883
2023-04-24,45.45454
2023-04-25,37.22943
