date,상장주식
2022-10-06,3.91722
2022-10-07,8.13008
2022-10-08,0.88691
2022-10-09,1.47819
2022-10-10,1.77383
2022-10-11,3.39985
2022-10-12,3.62158
2022-10-13,4.80413
2022-10-14,4.87804
2022-10-15,2.36511
2022-10-16,2.36511
2022-10-17,7.76053
2022-10-18,7.16925
2022-10-19,6.94752
2022-10-20,4.80413
2022-10-21,4.50849
2022-10-22,1.25646
2022-10-23,0.73909
2022-10-24,2.36511
2022-10-25,3.99113
2022-10-26,4.28677
2022-10-27,3.62158
2022-10-28,3.47376
2022-10-29,1.77383
2022-10-30,1.99556
2022-10-31,3.10421
2022-11-01,4.13895
2022-11-02,5.24759
2022-11-03,3.47376
2022-11-04,5.39541
2022-11-05,1.69992
2022-11-06,0.813
2022-11-07,4.28677
2022-11-08,3.91722
2022-11-09,4.95195
2022-11-10,2.88248
2022-11-11,5.24759
2022-11-12,1.99556
2022-11-13,2.06947
2022-11-14,4.65631
2022-11-15,3.54767
2022-11-16,3.62158
2022-11-17,6.7997
2022-11-18,3.69549
2022-11-19,1.47819
2022-11-20,1.92165
2022-11-21,3.84331
2022-11-22,3.7694
2022-11-23,2.73466
2022-11-24,4.13895
2022-11-25,2.14338
2022-11-26,2.14338
2022-11-27,1.25646
2022-11-28,2.21729
2022-11-29,2.66075
2022-11-30,3.0303
2022-12-01,3.10421
2022-12-02,2.88248
2022-12-03,0.96082
2022-12-04,1.62601
2022-12-05,2.2912
2022-12-06,4.73022
2022-12-07,4.50849
2022-12-08,4.95195
2022-12-09,4.36067
2022-12-10,1.40428
2022-12-11,1.25646
2022-12-12,4.5824
2022-12-13,2.88248
2022-12-14,3.69549
2022-12-15,4.06504
2022-12-16,2.88248
2022-12-17,1.18255
2022-12-18,1.10864
2022-12-19,2.80857
2022-12-20,2.95639
2022-12-21,3.17812
2022-12-22,5.46932
2022-12-23,3.0303
2022-12-24,1.33037
2022-12-25,2.14338
2022-12-26,3.69549
2022-12-27,3.7694
2022-12-28,3.25203
2022-12-29,3.32594
2022-12-30,1.33037
2022-12-31,1.69992
2023-01-01,2.14338
2023-01-02,3.84331
2023-01-03,3.32594
2023-01-04,4.50849
2023-01-05,3.10421
2023-01-06,2.66075
2023-01-07,2.36511
2023-01-08,1.84774
2023-01-09,4.65631
2023-01-10,4.5824
2023-01-11,4.21286
2023-01-12,4.43458
2023-01-13,3.25203
2023-01-14,2.51293
2023-01-15,1.47819
2023-01-16,4.87804
2023-01-17,4.5824
2023-01-18,4.80413
2023-01-19,9.53436
2023-01-20,5.17368
2023-01-21,1.69992
2023-01-22,1.84774
2023-01-23,2.06947
2023-01-24,2.51293
2023-01-25,6.28233
2023-01-26,6.57797
2023-01-27,9.75609
2023-01-28,3.91722
2023-01-29,3.69549
2023-01-30,16.11234
2023-01-31,11.75166
2023-02-01,9.83
2023-02-02,9.60827
2023-02-03,16.85144
2023-02-04,5.02586
2023-02-05,4.95195
2023-02-06,11.08647
2023-02-07,19.88174
2023-02-08,10.93865
2023-02-09,10.34737
2023-02-10,9.0909
2023-02-11,3.25203
2023-02-12,3.62158
2023-02-13,10.86474
2023-02-14,10.93865
2023-02-15,13.00813
2023-02-16,14.3385
2023-02-17,7.16925
2023-02-18,3.10421
2023-02-19,3.25203
2023-02-20,9.83
2023-02-21,7.09534
2023-02-22,6.35624
2023-02-23,5.91278
2023-02-24,6.0606
2023-02-25,2.14338
2023-02-26,2.51293
2023-02-27,5.46932
2023-02-28,6.0606
2023-03-01,3.69549
2023-03-02,14.26459
2023-03-03,11.60384
2023-03-04,3.32594
2023-03-05,2.51293
2023-03-06,8.2779
2023-03-07,10.64301
2023-03-08,5.3215
2023-03-09,5.83887
2023-03-10,5.3215
2023-03-11,1.62601
2023-03-12,2.14338
2023-03-13,6.72579
2023-03-14,6.0606
2023-03-15,7.61271
2023-03-16,5.54323
2023-03-17,5.3215
2023-03-18,2.21729
2023-03-19,1.92165
2023-03-20,4.65631
2023-03-21,6.7997
2023-03-22,6.0606
2023-03-23,4.28677
2023-03-24,4.43458
2023-03-25,1.84774
2023-03-26,2.66075
2023-03-27,5.09977
2023-03-28,6.35624
2023-03-29,8.64745
2023-03-30,10.93865
2023-03-31,8.49963
2023-04-01,0.96082
2023-04-02,4.21286
2023-04-03,5.61714
2023-04-04,6.87361
2023-04-05,6.65188
2023-04-06,5.02586
2023-04-07,5.39541
2023-04-08,3.39985
2023-04-09,2.2912
2023-04-10,7.24316
2023-04-11,7.83444
2023-04-12,5.83887
2023-04-13,9.97782
2023-04-14,5.83887
2023-04-15,2.36511
2023-04-16,3.0303
2023-04-17,8.05617
2023-04-18,6.57797
2023-04-19,5.54323
2023-04-20,4.87804
2023-04-21,5.24759
2023-04-22,3.17812
2023-04-23,2.14338
2023-04-24,5.3215
2023-04-25,5.39541
2023-04-26,8.94308
2023-04-27,7.46489
2023-04-28,4.36067
2023-04-29,2.14338
2023-04-30,1.92165
2023-05-01,1.69992
2023-05-02,5.54323
2023-05-03,3.25203
2023-05-04,5.98669
2023-05-05,1.25646
2023-05-06,1.18255
2023-05-07,1.25646
2023-05-08,3.99113
2023-05-09,3.91722
2023-05-10,3.84331
2023-05-11,5.3215
2023-05-12,4.13895
2023-05-13,1.84774
2023-05-14,1.40428
2023-05-15,4.43458
2023-05-16,3.91722
2023-05-17,5.91278
2023-05-18,4.43458
2023-05-19,6.43015
2023-05-20,2.73466
2023-05-21,2.66075
2023-05-22,4.73022
2023-05-23,7.24316
2023-05-24,8.20399
2023-05-25,5.98669
2023-05-26,4.28677
