date,진료기록지
2022-06-25,21.83908
2022-06-26,13.21839
2022-06-27,43.10344
2022-06-28,40.80459
2022-06-29,43.67816
2022-06-30,51.14942
2022-07-01,41.37931
2022-07-02,13.21839
2022-07-03,8.04597
2022-07-04,53.44827
2022-07-05,55.74712
2022-07-06,44.25287
2022-07-07,41.95402
2022-07-08,41.95402
2022-07-09,12.64367
2022-07-10,8.04597
2022-07-11,58.04597
2022-07-12,39.65517
2022-07-13,46.55172
2022-07-14,53.44827
2022-07-15,39.08045
2022-07-16,18.3908
2022-07-17,10.34482
2022-07-18,45.97701
2022-07-19,51.14942
2022-07-20,43.10344
2022-07-21,52.29885
2022-07-22,45.97701
2022-07-23,24.71264
2022-07-24,10.34482
2022-07-25,56.32183
2022-07-26,58.04597
2022-07-27,37.93103
2022-07-28,43.10344
2022-07-29,37.93103
2022-07-30,14.94252
2022-07-31,8.62068
2022-08-01,48.27586
2022-08-02,45.97701
2022-08-03,48.27586
2022-08-04,58.04597
2022-08-05,43.67816
2022-08-06,22.41379
2022-08-07,12.06896
2022-08-08,48.85057
2022-08-09,35.05747
2022-08-10,55.17241
2022-08-11,51.72413
2022-08-12,39.65517
2022-08-13,13.7931
2022-08-14,10.91954
2022-08-15,10.34482
2022-08-16,51.72413
2022-08-17,37.93103
2022-08-18,56.89655
2022-08-19,42.52873
2022-08-20,18.3908
2022-08-21,11.49425
2022-08-22,55.17241
2022-08-23,52.87356
2022-08-24,48.85057
2022-08-25,47.70114
2022-08-26,41.95402
2022-08-27,14.94252
2022-08-28,10.91954
2022-08-29,50.57471
2022-08-30,45.97701
2022-08-31,42.52873
2022-09-01,46.55172
2022-09-02,40.80459
2022-09-03,20.68965
2022-09-04,10.34482
2022-09-05,50.57471
2022-09-06,52.29885
2022-09-07,35.63218
2022-09-08,38.50574
2022-09-09,8.04597
2022-09-10,2.87356
2022-09-11,5.17241
2022-09-12,9.1954
2022-09-13,47.70114
2022-09-14,58.04597
2022-09-15,49.42528
2022-09-16,40.80459
2022-09-17,16.09195
2022-09-18,13.7931
2022-09-19,47.70114
2022-09-20,52.29885
2022-09-21,35.05747
2022-09-22,55.74712
2022-09-23,36.20689
2022-09-24,12.64367
2022-09-25,13.21839
2022-09-26,53.44827
2022-09-27,37.93103
2022-09-28,48.27586
2022-09-29,46.55172
2022-09-30,44.25287
2022-10-01,14.36781
2022-10-02,6.89655
2022-10-03,24.13793
2022-10-04,66.09195
2022-10-05,58.04597
2022-10-06,50.0
2022-10-07,52.29885
2022-10-08,11.49425
2022-10-09,9.77011
2022-10-10,10.91954
2022-10-11,62.64367
2022-10-12,53.44827
2022-10-13,52.29885
2022-10-14,49.42528
2022-10-15,15.51724
2022-10-16,11.49425
2022-10-17,44.82758
2022-10-18,59.77011
2022-10-19,45.97701
2022-10-20,47.12643
2022-10-21,52.29885
2022-10-22,15.51724
2022-10-23,9.77011
2022-10-24,54.5977
2022-10-25,41.95402
2022-10-26,49.42528
2022-10-27,49.42528
2022-10-28,53.44827
2022-10-29,19.54022
2022-10-30,11.49425
2022-10-31,43.67816
2022-11-01,52.29885
2022-11-02,55.74712
2022-11-03,55.74712
2022-11-04,51.14942
2022-11-05,18.96551
2022-11-06,18.96551
2022-11-07,64.36781
2022-11-08,53.44827
2022-11-09,55.74712
2022-11-10,45.40229
2022-11-11,54.5977
2022-11-12,20.11494
2022-11-13,10.91954
2022-11-14,63.7931
2022-11-15,51.72413
2022-11-16,47.12643
2022-11-17,52.29885
2022-11-18,47.70114
2022-11-19,23.56321
2022-11-20,12.64367
2022-11-21,58.04597
2022-11-22,47.12643
2022-11-23,52.29885
2022-11-24,49.42528
2022-11-25,58.04597
2022-11-26,24.71264
2022-11-27,10.34482
2022-11-28,65.51724
2022-11-29,55.74712
2022-11-30,43.67816
2022-12-01,46.55172
