date,WTI유가
2023-01-12,0.89925
2023-01-13,0.85801
2023-01-14,0.42347
2023-01-15,0.19312
2023-01-16,0.74032
2023-01-17,0.91132
2023-01-18,1.00688
2023-01-19,0.91232
2023-01-20,0.81576
2023-01-21,0.35607
2023-01-22,0.15792
2023-01-23,0.42447
2023-01-24,0.66387
2023-01-25,0.86605
2023-01-26,0.81174
2023-01-27,0.7192
2023-01-28,0.37619
2023-01-29,0.18608
2023-01-30,0.69908
2023-01-31,0.79765
2023-02-01,0.72322
2023-02-02,0.94753
2023-02-03,0.82783
2023-02-04,0.47276
2023-02-05,0.23839
2023-02-06,0.84292
2023-02-07,0.95155
2023-02-08,0.98273
2023-02-09,0.87108
2023-02-10,0.83588
2023-02-11,0.50796
2023-02-12,0.23537
2023-02-13,0.76446
2023-02-14,0.9254
2023-02-15,0.89019
2023-02-16,0.91433
2023-02-17,0.79665
2023-02-18,0.38022
2023-02-19,0.16395
2023-02-20,0.67896
2023-02-21,0.76245
2023-02-22,0.73529
2023-02-23,0.89623
2023-02-24,0.81777
2023-02-25,0.38323
2023-02-26,0.14484
2023-02-27,0.65784
2023-02-28,0.74635
2023-03-01,0.55524
2023-03-02,0.74132
2023-03-03,0.72422
2023-03-04,0.34199
2023-03-05,0.16898
2023-03-06,0.61961
2023-03-07,0.88516
2023-03-08,0.93345
2023-03-09,0.79464
2023-03-10,0.79564
2023-03-11,0.36211
2023-03-12,0.14886
2023-03-13,0.77351
2023-03-14,0.98374
2023-03-15,1.34787
2023-03-16,1.61342
2023-03-17,1.21107
2023-03-18,0.56831
2023-03-19,0.24442
2023-03-20,1.26438
2023-03-21,1.23621
2023-03-22,1.03403
2023-03-23,1.00788
2023-03-24,0.96865
2023-03-25,0.44157
2023-03-26,0.18005
2023-03-27,0.73831
2023-03-28,1.21811
2023-03-29,0.99581
2023-03-30,0.9948
2023-03-31,0.9254
2023-04-01,0.37418
2023-04-02,0.17301
2023-04-03,1.92021
2023-04-04,1.79246
2023-04-05,1.42632
2023-04-06,1.29154
2023-04-07,0.85298
2023-04-08,0.32288
2023-04-09,0.2062
2023-04-10,0.91333
2023-04-11,0.95457
2023-04-12,1.04309
2023-04-13,1.11149
2023-04-14,0.8228
2023-04-15,0.37921
2023-04-16,0.18608
2023-04-17,0.79262
2023-04-18,0.90428
2023-04-19,0.86304
2023-04-20,1.05415
2023-04-21,0.82481
2023-04-22,0.33395
2023-04-23,0.16798
2023-04-24,0.7715
2023-04-25,0.89623
2023-04-26,0.83386
2023-04-27,1.04812
2023-04-28,0.79061
2023-04-29,0.33696
2023-04-30,0.15389
2023-05-01,0.55021
2023-05-02,0.81676
2023-05-03,1.15675
2023-05-04,1.43135
2023-05-05,0.76647
2023-05-06,0.49991
2023-05-07,0.22129
2023-05-08,0.89723
2023-05-09,0.9425
2023-05-10,0.99983
2023-05-11,0.92439
2023-05-12,0.89824
2023-05-13,0.30578
2023-05-14,0.18306
2023-05-15,0.77754
2023-05-16,0.77049
2023-05-17,0.80872
2023-05-18,0.84392
2023-05-19,0.74132
2023-05-20,0.2756
2023-05-21,0.11668
2023-05-22,0.66488
2023-05-23,0.70612
2023-05-24,0.80469
2023-05-25,0.81475
2023-05-26,0.70813
