date,주식세금
2022-09-14,3.18076
2022-09-15,3.84848
2022-09-16,2.79227
2022-09-17,1.71178
2022-09-18,1.31115
2022-09-19,2.3795
2022-09-20,2.4402
2022-09-21,2.40378
2022-09-22,2.45234
2022-09-23,2.10027
2022-09-24,1.42042
2022-09-25,1.34757
2022-09-26,2.69515
2022-09-27,2.36736
2022-09-28,3.25361
2022-09-29,2.84084
2022-09-30,2.46448
2022-10-01,1.49326
2022-10-02,1.21403
2022-10-03,1.93031
2022-10-04,2.96224
2022-10-05,3.65424
2022-10-06,3.37501
2022-10-07,2.84084
2022-10-08,1.66322
2022-10-09,1.31115
2022-10-10,1.5661
2022-10-11,3.22933
2022-10-12,3.36287
2022-10-13,2.82869
2022-10-14,3.22933
2022-10-15,2.01529
2022-10-16,1.93031
2022-10-17,3.7635
2022-10-18,4.64975
2022-10-19,5.30532
2022-10-20,4.75901
2022-10-21,3.56926
2022-10-22,2.42806
2022-10-23,2.03957
2022-10-24,3.94561
2022-10-25,4.62547
2022-10-26,4.44336
2022-10-27,5.42673
2022-10-28,4.17627
2022-10-29,2.03957
2022-10-30,1.67536
2022-10-31,3.41143
2022-11-01,4.67403
2022-11-02,4.10343
2022-11-03,4.2734
2022-11-04,4.4555
2022-11-05,2.61017
2022-11-06,3.52069
2022-11-07,11.84897
2022-11-08,12.96588
2022-11-09,9.51802
2022-11-10,8.29185
2022-11-11,9.85795
2022-11-12,4.97754
2022-11-13,5.59669
2022-11-14,8.06118
2022-11-15,8.47395
2022-11-16,6.93213
2022-11-17,7.57557
2022-11-18,7.35704
2022-11-19,3.53283
2022-11-20,3.44785
2022-11-21,6.61648
2022-11-22,6.85929
2022-11-23,7.01711
2022-11-24,5.22034
2022-11-25,4.52834
2022-11-26,2.52519
2022-11-27,2.98652
2022-11-28,4.26126
2022-11-29,4.41908
2022-11-30,4.68617
2022-12-01,5.52385
2022-12-02,4.73473
2022-12-03,2.10027
2022-12-04,2.34308
2022-12-05,4.71045
2022-12-06,5.07466
2022-12-07,4.89255
2022-12-08,4.78329
2022-12-09,5.56027
2022-12-10,3.20505
2022-12-11,2.54947
2022-12-12,4.79543
2022-12-13,5.03824
2022-12-14,4.81971
2022-12-15,5.76666
2022-12-16,4.80757
2022-12-17,2.91368
2022-12-18,2.27024
2022-12-19,3.87276
2022-12-20,4.22483
2022-12-21,4.40694
2022-12-22,6.42224
2022-12-23,6.78645
2022-12-24,3.27789
2022-12-25,3.18076
2022-12-26,5.62097
2022-12-27,6.39796
2022-12-28,6.36153
2022-12-29,4.47978
2022-12-30,3.47213
2022-12-31,2.07599
2023-01-01,2.11241
2023-01-02,3.44785
2023-01-03,3.65424
2023-01-04,3.55712
2023-01-05,3.37501
2023-01-06,3.43571
2023-01-07,2.28238
2023-01-08,2.23382
2023-01-09,3.95775
2023-01-10,3.59354
2023-01-11,3.32645
2023-01-12,3.47213
2023-01-13,3.8242
2023-01-14,2.4402
2023-01-15,2.16098
2023-01-16,4.56476
2023-01-17,4.12771
2023-01-18,3.48427
2023-01-19,3.8242
2023-01-20,3.55712
2023-01-21,2.30666
2023-01-22,1.95459
2023-01-23,2.02743
2023-01-24,2.90154
2023-01-25,5.36603
2023-01-26,6.10659
2023-01-27,5.87592
2023-01-28,3.89704
2023-01-29,3.22933
2023-01-30,6.66504
2023-01-31,5.35389
2023-02-01,5.46315
2023-02-02,6.27655
2023-02-03,6.20371
2023-02-04,3.56926
2023-02-05,2.80441
2023-02-06,4.3341
2023-02-07,5.80308
2023-02-08,6.38582
2023-02-09,6.09445
2023-02-10,6.30083
2023-02-11,3.09578
2023-02-12,3.08364
2023-02-13,4.64975
2023-02-14,4.60118
2023-02-15,5.24462
2023-02-16,6.14301
2023-02-17,4.73473
2023-02-18,2.84084
2023-02-19,3.18076
2023-02-20,4.89255
2023-02-21,5.06252
2023-02-22,4.80757
2023-02-23,4.13985
2023-02-24,4.55262
2023-02-25,2.51305
2023-02-26,2.73157
2023-02-27,4.20055
2023-02-28,4.09129
2023-03-01,3.33859
2023-03-02,4.5769
2023-03-03,5.15964
2023-03-04,3.48427
2023-03-05,2.68301
2023-03-06,6.66504
2023-03-07,6.89571
2023-03-08,5.53599
2023-03-09,4.66189
2023-03-10,3.55712
2023-03-11,2.29452
2023-03-12,2.17312
2023-03-13,4.07915
2023-03-14,4.2734
2023-03-15,5.97304
2023-03-16,5.29318
2023-03-17,5.53599
2023-03-18,2.92582
2023-03-19,2.18526
2023-03-20,4.71045
2023-03-21,4.66189
2023-03-22,6.49508
2023-03-23,7.36918
2023-03-24,5.80308
2023-03-25,3.22933
2023-03-26,2.96224
2023-03-27,6.15515
2023-03-28,5.46315
2023-03-29,7.47845
2023-03-30,7.79409
2023-03-31,6.39796
2023-04-01,4.12771
2023-04-02,3.43571
2023-04-03,6.76217
2023-04-04,6.72574
2023-04-05,6.68932
2023-04-06,5.88806
2023-04-07,7.56343
2023-04-08,3.94561
2023-04-09,3.99417
2023-04-10,12.20104
2023-04-11,12.26174
2023-04-12,10.22216
2023-04-13,7.53915
2023-04-14,8.13402
2023-04-15,4.2734
2023-04-16,4.58904
2023-04-17,8.75318
2023-04-18,8.75318
2023-04-19,8.35255
2023-04-20,6.43438
2023-04-21,5.2082
2023-04-22,3.18076
2023-04-23,2.98652
2023-04-24,5.40245
2023-04-25,4.63761
2023-04-26,4.49192
2023-04-27,4.67403
2023-04-28,5.46315
2023-04-29,2.85298
2023-04-30,2.61017
2023-05-01,2.82869
2023-05-02,5.63311
