date,해외주식시간
2023-02-16,10.73863
2023-02-17,8.32386
2023-02-18,3.75
2023-02-19,2.30113
2023-02-20,16.25
2023-02-21,13.1534
2023-02-22,7.35795
2023-02-23,7.72727
2023-02-24,7.10227
2023-02-25,3.69318
2023-02-26,1.84659
2023-02-27,6.47727
2023-02-28,6.73295
2023-03-01,7.15909
2023-03-02,7.27272
2023-03-03,6.875
2023-03-04,4.46022
2023-03-05,2.44318
2023-03-06,10.25568
2023-03-07,8.21022
2023-03-08,7.13068
2023-03-09,6.30681
2023-03-10,6.30681
2023-03-11,2.86931
2023-03-12,1.84659
2023-03-13,8.4659
2023-03-14,7.30113
2023-03-15,7.5
2023-03-16,5.6534
2023-03-17,8.52272
2023-03-18,3.80681
2023-03-19,2.1875
2023-03-20,7.07386
2023-03-21,6.67613
2023-03-22,7.72727
2023-03-23,6.84659
2023-03-24,5.22727
2023-03-25,2.8125
2023-03-26,1.47727
2023-03-27,6.33522
2023-03-28,5.90909
2023-03-29,5.68181
2023-03-30,6.33522
2023-03-31,5.08522
2023-04-01,6.22159
2023-04-02,2.30113
2023-04-03,7.32954
2023-04-04,7.8409
2023-04-05,7.10227
2023-04-06,6.50568
2023-04-07,11.22159
2023-04-08,2.89772
2023-04-09,1.98863
2023-04-10,7.86931
2023-04-11,8.18181
2023-04-12,6.39204
2023-04-13,6.78977
2023-04-14,7.32954
2023-04-15,3.89204
2023-04-16,1.81818
2023-04-17,7.89772
2023-04-18,8.4375
2023-04-19,6.96022
2023-04-20,7.13068
2023-04-21,7.01704
2023-04-22,3.03977
2023-04-23,2.35795
2023-04-24,5.53977
2023-04-25,5.82386
2023-04-26,5.79545
2023-04-27,5.56818
2023-04-28,5.88068
2023-04-29,5.42613
2023-04-30,1.78977
2023-05-01,7.32954
2023-05-02,6.76136
2023-05-03,5.22727
2023-05-04,5.82386
2023-05-05,5.9659
2023-05-06,4.20454
2023-05-07,1.875
2023-05-08,7.15909
2023-05-09,6.78977
2023-05-10,6.39204
2023-05-11,7.01704
2023-05-12,5.0284
2023-05-13,2.67045
2023-05-14,1.76136
2023-05-15,5.73863
2023-05-16,5.53977
2023-05-17,5.6534
2023-05-18,6.05113
2023-05-19,6.70454
2023-05-20,2.72727
2023-05-21,1.19318
2023-05-22,5.39772
2023-05-23,7.07386
2023-05-24,5.42613
2023-05-25,9.48863
2023-05-26,7.10227
2023-05-27,4.60227
2023-05-28,2.30113
2023-05-29,10.53977
2023-05-30,12.15909
