date,미수금
2022-12-09,28.17869
2022-12-10,9.62199
2022-12-11,8.86597
2022-12-12,30.378
2022-12-13,30.79037
2022-12-14,30.58419
2022-12-15,31.06529
2022-12-16,28.38487
2022-12-17,8.79725
2022-12-18,5.84192
2022-12-19,25.63573
2022-12-20,32.09621
2022-12-21,27.42268
2022-12-22,28.86597
2022-12-23,25.01718
2022-12-24,6.46048
2022-12-25,5.36082
2022-12-26,27.90378
2022-12-27,28.4536
2022-12-28,29.62199
2022-12-29,28.59106
2022-12-30,22.88659
2022-12-31,8.59106
2023-01-01,7.14776
2023-01-02,29.75945
2023-01-03,31.8213
2023-01-04,35.6701
2023-01-05,32.92096
2023-01-06,33.05841
2023-01-07,8.59106
2023-01-08,10.30927
2023-01-09,35.25773
2023-01-10,35.87628
2023-01-11,34.77663
2023-01-12,31.89003
2023-01-13,28.86597
2023-01-14,8.86597
2023-01-15,11.06529
2023-01-16,30.79037
2023-01-17,35.80756
2023-01-18,31.95876
2023-01-19,31.06529
2023-01-20,22.26804
2023-01-21,6.46048
2023-01-22,5.22336
2023-01-23,7.9725
2023-01-24,8.59106
2023-01-25,34.43298
2023-01-26,44.26116
2023-01-27,41.51202
2023-01-28,15.189
2023-01-29,44.39862
2023-01-30,59.31271
2023-01-31,49.20962
2023-02-01,44.67353
2023-02-02,42.81786
2023-02-03,36.08247
2023-02-04,11.89003
2023-02-05,9.96563
2023-02-06,36.90721
2023-02-07,38.69415
2023-02-08,41.78694
2023-02-09,42.61168
2023-02-10,34.43298
2023-02-11,14.08934
2023-02-12,12.85223
2023-02-13,31.75257
2023-02-14,37.73195
2023-02-15,37.31958
2023-02-16,33.19587
2023-02-17,30.30927
2023-02-18,8.10996
2023-02-19,10.03436
2023-02-20,31.89003
2023-02-21,35.12027
2023-02-22,34.77663
2023-02-23,35.189
2023-02-24,48.65979
2023-02-25,15.80756
2023-02-26,11.47766
2023-02-27,37.04467
2023-02-28,36.56357
2023-03-01,15.39518
2023-03-02,36.1512
2023-03-03,37.80068
2023-03-04,10.44673
2023-03-05,9.27835
2023-03-06,37.86941
2023-03-07,38.14432
2023-03-08,41.78694
2023-03-09,42.13058
