date,설치미술
2022-04-29,31.78294
2022-04-30,20.54263
2022-05-01,22.48062
2022-05-02,36.4341
2022-05-03,26.35658
2022-05-04,20.93023
2022-05-05,25.19379
2022-05-06,19.37984
2022-05-07,15.50387
2022-05-08,12.4031
2022-05-09,45.73643
2022-05-10,39.14728
2022-05-11,44.96124
2022-05-12,36.04651
2022-05-13,24.031
2022-05-14,12.0155
2022-05-15,18.99224
2022-05-16,47.28682
2022-05-17,41.47286
2022-05-18,36.8217
2022-05-19,46.51162
2022-05-20,32.17054
2022-05-21,19.37984
2022-05-22,29.84496
2022-05-23,39.14728
2022-05-24,38.37209
2022-05-25,31.78294
2022-05-26,33.72093
2022-05-27,34.49612
2022-05-28,18.21705
2022-05-29,25.19379
2022-05-30,36.04651
2022-05-31,30.62015
2022-06-01,22.86821
2022-06-02,38.75968
2022-06-03,40.69767
2022-06-04,19.37984
2022-06-05,24.4186
2022-06-06,31.00775
2022-06-07,23.64341
2022-06-08,34.88372
2022-06-09,33.72093
2022-06-10,29.84496
2022-06-11,16.27906
2022-06-12,20.54263
2022-06-13,31.39534
2022-06-14,42.63565
2022-06-15,28.68217
2022-06-16,37.2093
2022-06-17,31.39534
2022-06-18,12.4031
2022-06-19,15.89147
2022-06-20,30.62015
2022-06-21,32.55813
2022-06-22,29.06976
2022-06-23,23.64341
2022-06-24,37.2093
2022-06-25,20.93023
2022-06-26,23.64341
2022-06-27,30.62015
2022-06-28,26.74418
2022-06-29,19.76744
2022-06-30,25.19379
2022-07-01,20.93023
2022-07-02,15.50387
2022-07-03,14.34108
2022-07-04,24.8062
2022-07-05,27.13178
2022-07-06,27.51937
2022-07-07,29.06976
2022-07-08,27.51937
2022-07-09,15.50387
2022-07-10,13.17829
2022-07-11,30.62015
2022-07-12,34.10852
2022-07-13,33.72093
2022-07-14,28.68217
2022-07-15,23.25581
2022-07-16,17.82945
2022-07-17,20.93023
2022-07-18,22.48062
2022-07-19,21.70542
2022-07-20,19.76744
2022-07-21,24.4186
2022-07-22,15.89147
2022-07-23,17.82945
2022-07-24,28.68217
2022-07-25,18.99224
2022-07-26,24.4186
2022-07-27,17.44186
2022-07-28,22.09302
2022-07-29,21.70542
2022-07-30,36.4341
2022-07-31,20.93023
2022-08-01,29.84496
2022-08-02,25.58139
2022-08-03,23.25581
2022-08-04,20.54263
2022-08-05,21.31782
2022-08-06,22.09302
2022-08-07,18.60465
2022-08-08,19.76744
2022-08-09,22.09302
2022-08-10,22.48062
2022-08-11,23.64341
2022-08-12,17.44186
2022-08-13,16.27906
2022-08-14,22.48062
2022-08-15,23.64341
2022-08-16,21.31782
2022-08-17,28.68217
2022-08-18,24.4186
2022-08-19,27.13178
2022-08-20,15.89147
2022-08-21,18.21705
2022-08-22,32.17054
2022-08-23,31.00775
2022-08-24,31.39534
2022-08-25,35.65891
2022-08-26,22.48062
2022-08-27,17.05426
2022-08-28,22.86821
2022-08-29,37.2093
2022-08-30,42.24806
2022-08-31,26.35658
2022-09-01,28.68217
2022-09-02,40.31007
2022-09-03,23.25581
2022-09-04,14.34108
2022-09-05,46.51162
2022-09-06,65.89147
2022-09-07,43.02325
2022-09-08,30.23255
2022-09-09,10.07751
2022-09-10,16.66666
2022-09-11,16.66666
2022-09-12,30.23255
2022-09-13,33.33333
2022-09-14,36.04651
2022-09-15,27.51937
2022-09-16,32.55813
2022-09-17,22.86821
2022-09-18,30.62015
2022-09-19,53.10077
2022-09-20,45.73643
2022-09-21,39.53488
2022-09-22,37.59689
2022-09-23,34.49612
2022-09-24,28.29457
2022-09-25,37.2093
2022-09-26,36.04651
2022-09-27,29.84496
2022-09-28,34.49612
2022-09-29,31.78294
2022-09-30,30.62015
2022-10-01,21.70542
2022-10-02,25.19379
2022-10-03,25.19379
2022-10-04,36.4341
2022-10-05,34.88372
2022-10-06,40.31007
2022-10-07,29.84496
2022-10-08,24.4186
2022-10-09,24.4186
2022-10-10,26.74418
2022-10-11,54.26356
2022-10-12,46.89922
2022-10-13,45.34883
2022-10-14,36.4341
2022-10-15,39.92248
2022-10-16,39.92248
2022-10-17,52.71317
2022-10-18,56.58914
2022-10-19,37.98449
2022-10-20,35.65891
2022-10-21,42.24806
2022-10-22,21.70542
2022-10-23,29.84496
2022-10-24,51.93798
2022-10-25,48.06201
2022-10-26,46.12403
2022-10-27,36.04651
2022-10-28,30.62015
2022-10-29,24.031
2022-10-30,32.17054
2022-10-31,51.16279
2022-11-01,40.69767
2022-11-02,44.96124
2022-11-03,38.37209
2022-11-04,33.33333
2022-11-05,27.51937
2022-11-06,25.19379
2022-11-07,40.31007
2022-11-08,37.2093
2022-11-09,27.13178
2022-11-10,29.45736
2022-11-11,32.17054
2022-11-12,24.8062
2022-11-13,19.37984
2022-11-14,29.45736
2022-11-15,53.48837
2022-11-16,43.41085
2022-11-17,31.00775
2022-11-18,25.58139
2022-11-19,22.09302
2022-11-20,27.13178
2022-11-21,37.98449
2022-11-22,34.10852
2022-11-23,26.74418
2022-11-24,30.23255
2022-11-25,27.13178
2022-11-26,25.96899
2022-11-27,31.00775
2022-11-28,32.94573
2022-11-29,26.35658
2022-11-30,29.06976
2022-12-01,32.94573
2022-12-02,27.51937
2022-12-03,15.11627
2022-12-04,23.64341
2022-12-05,25.96899
2022-12-06,27.90697
2022-12-07,28.68217
2022-12-08,23.64341
2022-12-09,27.90697
2022-12-10,17.05426
2022-12-11,15.89147
2022-12-12,24.4186
2022-12-13,32.17054
2022-12-14,19.37984
2022-12-15,22.86821
2022-12-16,19.37984
2022-12-17,11.24031
2022-12-18,18.99224
2022-12-19,24.031
2022-12-20,24.4186
2022-12-21,18.99224
2022-12-22,17.82945
2022-12-23,16.27906
2022-12-24,10.85271
2022-12-25,16.27906
2022-12-26,25.58139
2022-12-27,19.37984
2022-12-28,21.70542
2022-12-29,19.37984
2022-12-30,23.64341
2022-12-31,16.66666
2023-01-01,15.11627
2023-01-02,17.05426
2023-01-03,20.54263
2023-01-04,18.21705
2023-01-05,17.44186
2023-01-06,18.21705
2023-01-07,16.66666
2023-01-08,19.76744
2023-01-09,23.64341
2023-01-10,23.64341
2023-01-11,22.09302
2023-01-12,18.99224
2023-01-13,15.11627
