date,RMS
2023-02-03,55.77464
2023-02-04,19.43661
2023-02-05,19.43661
2023-02-06,56.9014
2023-02-07,70.14084
2023-02-08,52.95774
2023-02-09,49.57746
2023-02-10,46.47887
2023-02-11,15.77464
2023-02-12,19.43661
2023-02-13,60.28169
2023-02-14,63.94366
2023-02-15,63.94366
2023-02-16,53.80281
2023-02-17,44.78873
2023-02-18,16.33802
2023-02-19,12.67605
2023-02-20,57.46478
2023-02-21,60.84507
2023-02-22,59.15492
2023-02-23,52.95774
2023-02-24,47.32394
2023-02-25,22.53521
2023-02-26,18.59154
2023-02-27,52.11267
2023-02-28,47.88732
2023-03-01,27.04225
2023-03-02,60.0
2023-03-03,58.59154
2023-03-04,19.7183
2023-03-05,19.43661
2023-03-06,73.52112
2023-03-07,66.47887
2023-03-08,62.53521
2023-03-09,58.59154
2023-03-10,57.46478
2023-03-11,32.11267
2023-03-12,21.69014
2023-03-13,70.98591
2023-03-14,69.01408
2023-03-15,73.52112
2023-03-16,65.6338
2023-03-17,48.16901
2023-03-18,24.22535
2023-03-19,28.16901
2023-03-20,74.0845
2023-03-21,72.95774
2023-03-22,68.16901
2023-03-23,65.35211
2023-03-24,47.88732
2023-03-25,24.22535
2023-03-26,27.88732
2023-03-27,64.50704
2023-03-28,71.54929
2023-03-29,78.30985
2023-03-30,74.36619
2023-03-31,60.28169
2023-04-01,19.7183
2023-04-02,21.12676
2023-04-03,69.57746
2023-04-04,76.9014
2023-04-05,72.11267
2023-04-06,73.23943
2023-04-07,56.33802
2023-04-08,27.60563
2023-04-09,26.76056
2023-04-10,65.6338
2023-04-11,63.38028
2023-04-12,70.98591
2023-04-13,66.76056
2023-04-14,58.59154
2023-04-15,46.19718
2023-04-16,33.80281
2023-04-17,72.11267
2023-04-18,82.25352
2023-04-19,71.54929
2023-04-20,69.01408
2023-04-21,59.7183
2023-04-22,32.11267
2023-04-23,35.21126
2023-04-24,80.0
2023-04-25,67.88732
2023-04-26,69.57746
2023-04-27,61.97183
2023-04-28,48.73239
2023-04-29,18.02816
2023-04-30,19.7183
2023-05-01,32.39436
2023-05-02,56.9014
2023-05-03,68.4507
2023-05-04,54.64788
2023-05-05,18.87323
2023-05-06,18.59154
2023-05-07,21.40845
2023-05-08,69.29577
2023-05-09,56.05633
2023-05-10,64.78873
2023-05-11,63.09859
2023-05-12,61.12676
2023-05-13,21.12676
2023-05-14,15.21126
2023-05-15,68.16901
2023-05-16,63.66197
2023-05-17,58.30985
2023-05-18,65.6338
2023-05-19,49.85915
2023-05-20,22.25352
2023-05-21,17.46478
2023-05-22,67.04225
2023-05-23,69.57746
2023-05-24,66.19718
2023-05-25,62.53521
2023-05-26,45.6338
2023-05-27,21.12676
2023-05-28,23.66197
