date,저PBR
2022-03-05,0.18094
2022-03-06,0.10856
2022-03-07,0.14475
2022-03-08,0.30156
2022-03-09,0.13268
2022-03-10,0.22919
2022-03-11,0.24125
2022-03-12,0.39806
2022-03-13,0.26537
2022-03-14,0.10856
2022-03-15,0.16887
2022-03-16,0.36188
2022-03-17,0.42219
2022-03-18,0.18094
2022-03-19,0.16887
2022-03-20,0.0965
2022-03-21,0.16887
2022-03-22,0.31363
2022-03-23,0.18094
2022-03-24,0.31363
2022-03-25,0.34981
2022-03-26,0.12062
2022-03-27,0.26537
2022-03-28,0.12062
2022-03-29,0.25331
2022-03-30,0.14475
2022-03-31,0.0965
2022-04-01,0.06031
2022-04-02,0.10856
2022-04-03,0.18094
2022-04-04,0.18094
2022-04-05,0.18094
2022-04-06,0.37394
2022-04-07,0.14475
2022-04-08,0.08443
2022-04-09,0.22919
2022-04-10,0.30156
2022-04-11,0.18094
2022-04-12,0.15681
2022-04-13,0.10856
2022-04-14,0.14475
2022-04-15,0.27744
2022-04-16,0.21712
2022-04-17,0.18094
2022-04-18,0.27744
2022-04-19,0.20506
2022-04-20,0.31363
2022-04-21,0.16887
2022-04-22,0.07237
2022-04-23,0.21712
2022-04-24,0.0965
2022-04-25,0.0965
2022-04-26,0.16887
2022-04-27,0.386
2022-04-28,0.16887
2022-04-29,0.08443
2022-04-30,0.10856
2022-05-01,0.13268
2022-05-02,0.0965
2022-05-03,0.22919
2022-05-04,0.20506
2022-05-05,0.08443
2022-05-06,0.13268
2022-05-07,0.06031
2022-05-08,0.14475
2022-05-09,0.21712
2022-05-10,0.193
2022-05-11,0.15681
2022-05-12,0.12062
2022-05-13,0.10856
2022-05-14,0.16887
2022-05-15,0.21712
2022-05-16,0.15681
2022-05-17,0.2895
2022-05-18,0.33775
2022-05-19,0.20506
2022-05-20,0.07237
2022-05-21,0.08443
2022-05-23,0.15681
2022-05-24,0.13268
2022-05-25,0.12062
2022-05-26,0.06031
2022-05-27,0.0965
2022-05-28,0.193
2022-05-29,0.18094
2022-05-30,0.30156
2022-05-31,0.41013
2022-06-01,0.26537
2022-06-02,0.10856
2022-06-03,0.22919
2022-06-04,0.18094
2022-06-05,0.21712
2022-06-06,0.18094
2022-06-07,0.13268
2022-06-08,0.21712
2022-06-09,0.22919
2022-06-10,0.08443
2022-06-11,0.18094
2022-06-12,0.193
2022-06-13,0.47044
2022-06-14,0.37394
2022-06-15,0.33775
