date,자동차보험할증기준
2023-02-27,50.16181
2023-02-28,45.14563
2023-03-01,23.62459
2023-03-02,47.73462
2023-03-03,40.12944
2023-03-04,25.40453
2023-03-05,20.22653
2023-03-06,45.79288
2023-03-07,46.92556
2023-03-08,38.99676
2023-03-09,39.15857
2023-03-10,41.10032
2023-03-11,24.11003
2023-03-12,21.03559
2023-03-13,53.72168
2023-03-14,44.49838
2023-03-15,41.42394
2023-03-16,41.26213
2023-03-17,42.39482
2023-03-18,23.7864
2023-03-19,17.63754
2023-03-20,50.16181
2023-03-21,46.76375
2023-03-22,43.20388
2023-03-23,43.36569
2023-03-24,36.73139
2023-03-25,28.47896
2023-03-26,20.71197
2023-03-27,51.45631
2023-03-28,46.44012
2023-03-29,38.83495
2023-03-30,41.26213
2023-03-31,34.3042
2023-04-01,23.94822
2023-04-02,22.33009
2023-04-03,57.60517
2023-04-04,46.92556
2023-04-05,44.98381
2023-04-06,42.55663
2023-04-07,36.40776
2023-04-08,22.00647
2023-04-09,23.13915
2023-04-10,54.0453
2023-04-11,43.85113
2023-04-12,45.14563
2023-04-13,39.64401
2023-04-14,39.80582
2023-04-15,19.09385
2023-04-16,24.11003
2023-04-17,51.94174
2023-04-18,44.98381
2023-04-19,40.12944
2023-04-20,38.02588
2023-04-21,38.51132
2023-04-22,25.24271
2023-04-23,23.62459
2023-04-24,47.24919
2023-04-25,45.14563
2023-04-26,45.63106
2023-04-27,43.85113
2023-04-28,43.20388
2023-04-29,23.94822
2023-04-30,21.03559
2023-05-01,33.0097
2023-05-02,56.31067
2023-05-03,46.27831
2023-05-04,38.99676
2023-05-05,21.52103
2023-05-06,23.62459
2023-05-07,22.4919
2023-05-08,54.53074
2023-05-09,44.66019
2023-05-10,44.822
2023-05-11,50.80906
2023-05-12,43.20388
2023-05-13,30.42071
2023-05-14,17.63754
2023-05-15,56.31067
2023-05-16,48.54368
2023-05-17,51.45631
2023-05-18,40.61488
2023-05-19,36.08414
2023-05-20,22.65372
2023-05-21,20.22653
2023-05-22,52.58899
2023-05-23,51.13268
2023-05-24,55.17799
2023-05-25,49.67637
2023-05-26,42.39482
