date,상속재산분할협의서
2023-02-11,22.67002
2023-02-12,28.46347
2023-02-13,75.06297
2023-02-14,57.43073
2023-02-15,65.74307
2023-02-16,64.9874
2023-02-17,46.09571
2023-02-18,25.4408
2023-02-19,30.47858
2023-02-20,69.52141
2023-02-21,64.73551
2023-02-22,67.75818
2023-02-23,59.94962
2023-02-24,62.46851
2023-02-25,30.73047
2023-02-26,28.96725
2023-02-27,65.99496
2023-02-28,45.34005
2023-03-01,29.97481
2023-03-02,61.71284
2023-03-03,45.59193
2023-03-04,16.37279
2023-03-05,24.93702
2023-03-06,66.49874
2023-03-07,64.73551
2023-03-08,60.70528
2023-03-09,57.17884
2023-03-10,54.65994
2023-03-11,15.61712
2023-03-12,25.94458
2023-03-13,69.52141
2023-03-14,56.42317
2023-03-15,68.01007
2023-03-16,56.92695
2023-03-17,50.62972
2023-03-18,32.4937
2023-03-19,28.46347
2023-03-20,62.7204
2023-03-21,53.65239
2023-03-22,52.89672
2023-03-23,49.62216
2023-03-24,48.11083
2023-03-25,20.9068
2023-03-26,21.15869
2023-03-27,68.01007
2023-03-28,53.65239
2023-03-29,52.39294
2023-03-30,61.71284
2023-03-31,45.08816
2023-04-01,20.65491
2023-04-02,19.39546
2023-04-03,55.16372
2023-04-04,69.52141
2023-04-05,46.09571
2023-04-06,55.6675
2023-04-07,42.56926
2023-04-08,21.41057
2023-04-09,24.68513
2023-04-10,59.44584
2023-04-11,61.20906
2023-04-12,57.17884
2023-04-13,65.99496
2023-04-14,44.83627
2023-04-15,21.15869
2023-04-16,26.44836
2023-04-17,56.67506
2023-04-18,57.43073
2023-04-19,56.67506
2023-04-20,56.92695
2023-04-21,46.09571
2023-04-22,24.43324
2023-04-23,30.98236
2023-04-24,63.47607
2023-04-25,53.4005
2023-04-26,57.9345
2023-04-27,47.35516
2023-04-28,40.05037
2023-04-29,26.70025
2023-04-30,25.69269
2023-05-01,54.15617
2023-05-02,51.88916
2023-05-03,45.59193
2023-05-04,49.11838
2023-05-05,21.41057
2023-05-06,25.4408
2023-05-07,20.65491
2023-05-08,69.01763
2023-05-09,60.20151
2023-05-10,55.41561
2023-05-11,54.40806
2023-05-12,43.32493
2023-05-13,21.66246
2023-05-14,21.66246
2023-05-15,64.48362
2023-05-16,62.21662
2023-05-17,60.70528
2023-05-18,57.68261
2023-05-19,45.59193
2023-05-20,22.16624
2023-05-21,34.00503
2023-05-22,58.43828
2023-05-23,62.7204
