date,증여상속
2022-12-24,22.22222
2022-12-25,26.16487
2022-12-26,29.39068
2022-12-27,41.57706
2022-12-28,33.69175
2022-12-29,36.55913
2022-12-30,26.52329
2022-12-31,16.12903
2023-01-01,32.97491
2023-01-02,41.57706
2023-01-03,34.05017
2023-01-04,36.20071
2023-01-05,40.50179
2023-01-06,31.89964
2023-01-07,25.0896
2023-01-08,30.10752
2023-01-09,47.67025
2023-01-10,50.53763
2023-01-11,41.93548
2023-01-12,33.33333
2023-01-13,35.84229
2023-01-14,22.22222
2023-01-15,28.31541
2023-01-16,39.0681
2023-01-17,36.91756
2023-01-18,35.48387
2023-01-19,30.46594
2023-01-20,29.7491
2023-01-21,31.89964
2023-01-22,41.93548
2023-01-23,41.93548
2023-01-24,50.89605
2023-01-25,46.23655
2023-01-26,50.53763
2023-01-27,35.12544
2023-01-28,32.25806
2023-01-29,29.7491
2023-01-30,42.65232
2023-01-31,49.46236
2023-02-01,40.86021
2023-02-02,34.4086
2023-02-03,43.01075
2023-02-04,29.7491
2023-02-05,33.33333
2023-02-06,43.36917
2023-02-07,39.42652
2023-02-08,44.80286
2023-02-09,34.4086
2023-02-10,36.91756
2023-02-11,40.50179
2023-02-12,32.97491
2023-02-13,44.44444
2023-02-14,39.0681
2023-02-15,35.84229
2023-02-16,32.61648
2023-02-17,34.4086
2023-02-18,25.0896
2023-02-19,30.10752
2023-02-20,40.86021
2023-02-21,40.14336
2023-02-22,38.35125
2023-02-23,40.50179
2023-02-24,34.4086
2023-02-25,25.80645
2023-02-26,25.80645
2023-02-27,35.84229
2023-02-28,32.97491
2023-03-01,25.80645
2023-03-02,29.7491
2023-03-03,39.0681
2023-03-04,21.50537
2023-03-05,25.80645
2023-03-06,36.20071
2023-03-07,42.65232
2023-03-08,37.27598
2023-03-09,40.50179
2023-03-10,26.88172
2023-03-11,25.80645
2023-03-12,28.31541
2023-03-13,37.27598
2023-03-14,45.87813
2023-03-15,26.16487
2023-03-16,35.12544
2023-03-17,37.27598
2023-03-18,30.46594
2023-03-19,19.71326
2023-03-20,35.48387
