date,기아주식
2022-02-28,11.7682
2022-03-01,3.03631
2022-03-02,15.45941
2022-03-03,14.54653
2022-03-04,11.39114
2022-03-05,2.2425
2022-03-06,1.80591
2022-03-07,13.27644
2022-03-08,14.12978
2022-03-09,3.83012
2022-03-10,11.92696
2022-03-11,12.24449
2022-03-12,2.57987
2022-03-13,2.38142
2022-03-14,14.46715
2022-03-15,11.49037
2022-03-16,13.59396
2022-03-17,14.94344
2022-03-18,11.47052
2022-03-19,2.36157
2022-03-20,1.64715
2022-03-21,9.7043
2022-03-22,10.08136
2022-03-23,12.26433
2022-03-24,10.57749
2022-03-25,11.41099
2022-03-26,2.79817
2022-03-27,2.20281
2022-03-28,10.04167
2022-03-29,9.52569
2022-03-30,11.62929
2022-03-31,10.47826
2022-04-01,9.74399
2022-04-02,1.94483
2022-04-03,1.64715
2022-04-04,9.12879
2022-04-05,8.91049
2022-04-06,15.22127
2022-04-07,10.37904
2022-04-08,9.12879
2022-04-09,2.20281
2022-04-10,1.72653
2022-04-11,14.30839
2022-04-12,11.23238
2022-04-13,12.34371
2022-04-14,10.55765
2022-04-15,9.22802
2022-04-16,1.88529
2022-04-17,1.72653
2022-04-18,9.96229
2022-04-19,11.07362
2022-04-20,15.59833
2022-04-21,15.43957
2022-04-22,11.94681
2022-04-23,1.94483
2022-04-24,1.88529
2022-04-25,10.79579
2022-04-26,21.79003
2022-04-27,15.47926
2022-04-28,14.58622
2022-04-29,12.85969
2022-04-30,2.4608
2022-05-01,2.08374
2022-05-02,12.40325
2022-05-03,11.31176
2022-05-04,9.94244
2022-05-05,2.28219
2022-05-06,10.7561
2022-05-07,1.98452
2022-05-08,1.68684
2022-05-09,9.14864
2022-05-10,12.70093
2022-05-11,16.31276
2022-05-12,15.87616
2022-05-13,15.06251
2022-05-14,2.56003
2022-05-15,1.92498
2022-05-16,11.74836
2022-05-17,9.82337
2022-05-18,10.45842
2022-05-19,11.92696
2022-05-20,11.43083
2022-05-21,2.28219
2022-05-22,2.2425
2022-05-23,11.153
2022-05-24,11.01409
2022-05-25,8.83111
2022-05-26,10.18059
2022-05-27,9.7043
2022-05-28,2.02421
2022-05-29,1.56777
2022-05-30,10.3195
2022-05-31,12.76046
2022-06-01,2.83786
2022-06-02,9.76384
