date,피상속인
2023-01-28,19.23743
2023-01-29,21.31715
2023-01-30,46.96707
2023-01-31,47.487
2023-02-01,43.67417
2023-02-02,43.84748
2023-02-03,33.10225
2023-02-04,22.01039
2023-02-05,18.02426
2023-02-06,41.24783
2023-02-07,47.83362
2023-02-08,44.54072
2023-02-09,42.80762
2023-02-10,36.56845
2023-02-11,22.01039
2023-02-12,24.26343
2023-02-13,57.01906
2023-02-14,46.27383
2023-02-15,44.36741
2023-02-16,48.00693
2023-02-17,43.84748
2023-02-18,19.75736
2023-02-19,23.05025
2023-02-20,42.11438
2023-02-21,50.60658
2023-02-22,42.80762
2023-02-23,38.82149
2023-02-24,34.83535
2023-02-25,19.58405
2023-02-26,16.81109
2023-02-27,41.24783
2023-02-28,37.78162
2023-03-01,23.39688
2023-03-02,41.07452
2023-03-03,33.44887
2023-03-04,19.23743
2023-03-05,19.06412
2023-03-06,39.86135
2023-03-07,46.79376
2023-03-08,33.62218
2023-03-09,37.95493
2023-03-10,28.42287
2023-03-11,13.86481
2023-03-12,13.51819
2023-03-13,36.56845
2023-03-14,33.27556
2023-03-15,28.42287
2023-03-16,33.27556
2023-03-17,26.68977
2023-03-18,12.82495
2023-03-19,14.73136
2023-03-20,35.00866
2023-03-21,28.07625
2023-03-22,39.16811
2023-03-23,29.63604
2023-03-24,29.63604
2023-03-25,13.34488
2023-03-26,15.07798
2023-03-27,29.80935
2023-03-28,29.28942
2023-03-29,31.19584
2023-03-30,28.24956
2023-03-31,22.1837
2023-04-01,12.47833
2023-04-02,14.38474
2023-04-03,30.84922
2023-04-04,31.36915
2023-04-05,33.79549
2023-04-06,31.36915
2023-04-07,27.55632
2023-04-08,14.38474
2023-04-09,15.94454
2023-04-10,38.30155
2023-04-11,32.40901
2023-04-12,35.35528
2023-04-13,35.7019
2023-04-14,31.02253
2023-04-15,16.29116
2023-04-16,17.15771
2023-04-17,32.58232
2023-04-18,36.04852
2023-04-19,33.9688
2023-04-20,33.44887
2023-04-21,28.59618
2023-04-22,18.89081
2023-04-23,18.7175
2023-04-24,38.64818
2023-04-25,33.79549
2023-04-26,31.36915
2023-04-27,29.46273
2023-04-28,21.66377
2023-04-29,13.17157
2023-04-30,10.74523
2023-05-01,22.1837
2023-05-02,29.80935
2023-05-03,30.6759
2023-05-04,25.12998
2023-05-05,13.17157
2023-05-06,12.13171
2023-05-07,11.26516
2023-05-08,31.19584
2023-05-09,28.42287
2023-05-10,29.28942
2023-05-11,30.15597
2023-05-12,28.07625
2023-05-13,13.34488
2023-05-14,12.99826
2023-05-15,31.71577
2023-05-16,31.19584
2023-05-17,30.32928
2023-05-18,33.10225
2023-05-19,28.07625
2023-05-20,13.51819
2023-05-21,13.6915
2023-05-22,32.75563
2023-05-23,29.63604
2023-05-24,29.80935
2023-05-25,28.76949
2023-05-26,25.4766
2023-05-27,14.38474
