date,현대상선주가
2023-03-12,0.48785
2023-03-13,6.35456
2023-03-14,5.72286
2023-03-15,6.49842
2023-03-16,5.91675
2023-03-17,5.90737
2023-03-18,0.53163
2023-03-19,0.39716
2023-03-20,6.07624
2023-03-21,5.94802
2023-03-22,6.19507
2023-03-23,5.67595
2023-03-24,5.48519
2023-03-25,0.48159
2023-03-26,0.35337
2023-03-27,5.25064
2023-03-28,5.63842
2023-03-29,5.23813
2023-03-30,5.61653
2023-03-31,6.15442
2023-04-01,0.53788
2023-04-02,0.4941
2023-04-03,5.56337
2023-04-04,5.37886
2023-04-05,5.50395
2023-04-06,4.97545
2023-04-07,5.51333
2023-04-08,0.53475
2023-04-09,0.42843
2023-04-10,6.07311
2023-04-11,6.55471
2023-04-12,6.27951
2023-04-13,6.11689
2023-04-14,6.23885
2023-04-15,0.46595
2023-04-16,0.3221
2023-04-17,6.92998
2023-04-18,6.96438
2023-04-19,6.85805
2023-04-20,7.16452
2023-04-21,5.77289
2023-04-22,0.48785
2023-04-23,0.40654
2023-04-24,5.38199
2023-04-25,5.30068
2023-04-26,5.07552
2023-04-27,5.10054
2023-04-28,5.47268
2023-04-29,0.49723
2023-04-30,0.29083
2023-05-01,1.3666
2023-05-02,5.03174
2023-05-03,4.72214
2023-05-04,4.76279
2023-05-05,0.65359
2023-05-06,0.35963
2023-05-07,0.33148
2023-05-08,5.13181
2023-05-09,4.66272
2023-05-10,4.44069
2023-05-11,4.72527
2023-05-12,4.26556
2023-05-13,0.35025
2023-05-14,0.25643
2023-05-15,4.16549
2023-05-16,4.57516
2023-05-17,4.32185
2023-05-18,4.61894
2023-05-19,4.86599
2023-05-20,0.43156
2023-05-21,0.30334
2023-05-22,5.48831
2023-05-23,4.83472
2023-05-24,4.56578
2023-05-25,4.47196
2023-05-26,4.59392
