date,에쿼티
2022-12-08,33.22981
2022-12-09,30.12422
2022-12-10,18.01242
2022-12-11,15.52795
2022-12-12,36.3354
2022-12-13,40.37267
2022-12-14,32.91925
2022-12-15,33.54037
2022-12-16,28.26086
2022-12-17,10.24844
2022-12-18,13.97515
2022-12-19,35.40372
2022-12-20,38.81987
2022-12-21,38.19875
2022-12-22,30.43478
2022-12-23,22.98136
2022-12-24,6.21118
2022-12-25,6.21118
2022-12-26,31.36645
2022-12-27,28.57142
2022-12-28,25.77639
2022-12-29,27.32919
2022-12-30,21.42857
2022-12-31,6.21118
2023-01-01,8.38509
2023-01-02,42.85714
2023-01-03,42.23602
2023-01-04,38.81987
2023-01-05,33.54037
2023-01-06,35.09316
2023-01-07,16.45962
2023-01-08,13.04347
2023-01-09,36.02484
2023-01-10,42.23602
2023-01-11,39.13043
2023-01-12,41.92546
2023-01-13,34.16149
2023-01-14,21.73913
2023-01-15,12.73291
2023-01-16,52.17391
2023-01-17,40.37267
2023-01-18,40.06211
2023-01-19,43.47826
2023-01-20,26.39751
2023-01-21,9.00621
2023-01-22,8.69565
2023-01-23,10.86956
2023-01-24,15.8385
2023-01-25,35.71428
2023-01-26,39.44099
2023-01-27,43.1677
2023-01-28,14.90683
2023-01-29,16.14906
2023-01-30,41.92546
2023-01-31,37.57763
2023-02-01,50.62111
2023-02-02,42.23602
2023-02-03,42.85714
2023-02-04,19.25465
2023-02-05,12.42236
2023-02-06,55.59006
2023-02-07,48.13664
2023-02-08,50.0
2023-02-09,62.1118
2023-02-10,56.21118
2023-02-11,20.18633
2023-02-12,23.29192
2023-02-13,51.24223
2023-02-14,48.13664
2023-02-15,47.20496
2023-02-16,47.51552
2023-02-17,36.02484
2023-02-18,17.70186
2023-02-19,15.52795
2023-02-20,45.34161
2023-02-21,45.96273
2023-02-22,51.24223
2023-02-23,46.27329
2023-02-24,43.1677
2023-02-25,16.77018
2023-02-26,18.01242
2023-02-27,33.22981
2023-02-28,33.85093
2023-03-01,17.08074
2023-03-02,33.54037
2023-03-03,34.7826
2023-03-04,12.1118
2023-03-05,14.28571
2023-03-06,36.95652
2023-03-07,43.78881
2023-03-08,41.92546
2023-03-09,41.6149
2023-03-10,36.64596
2023-03-11,16.77018
2023-03-12,15.52795
2023-03-13,42.85714
2023-03-14,40.99378
2023-03-15,33.85093
2023-03-16,47.82608
2023-03-17,38.81987
2023-03-18,19.25465
2023-03-19,15.8385
2023-03-20,35.71428
2023-03-21,53.41614
2023-03-22,41.30434
2023-03-23,45.65217
2023-03-24,31.0559
2023-03-25,15.52795
2023-03-26,15.8385
2023-03-27,40.68322
2023-03-28,38.81987
