date,메리츠금융지주
2022-10-05,3.03752
2022-10-06,2.93329
2022-10-07,3.22116
2022-10-08,0.6204
2022-10-09,0.63529
2022-10-10,0.4318
2022-10-11,3.51399
2022-10-12,3.47429
2022-10-13,3.23605
2022-10-14,4.29323
2022-10-15,0.98272
2022-10-16,0.62537
2022-10-17,3.66289
2022-10-18,4.76474
2022-10-19,3.96069
2022-10-20,3.13182
2022-10-21,4.84415
2022-10-22,1.38475
2022-10-23,0.90331
2022-10-24,4.24359
2022-10-25,4.7697
2022-10-26,3.45443
2022-10-27,4.15922
2022-10-28,2.9581
2022-10-29,0.83382
2022-10-30,0.47151
2022-10-31,3.39984
2022-11-01,4.81933
2022-11-02,3.48918
2022-11-03,2.90351
2022-11-04,5.97577
2022-11-05,1.14651
2022-11-06,1.1068
2022-11-07,3.7026
2022-11-08,6.36787
2022-11-09,10.96386
2022-11-10,6.24379
2022-11-11,5.78221
2022-11-12,1.07702
2022-11-13,0.88346
2022-11-14,5.00794
2022-11-15,6.3778
2022-11-16,6.14949
2022-11-17,4.34286
2022-11-18,3.66289
2022-11-19,0.79908
2022-11-20,0.84375
2022-11-21,26.76196
2022-11-22,94.28231
2022-11-23,100.0
2022-11-24,41.39864
2022-11-25,27.5809
2022-11-26,6.88405
2022-11-27,6.05022
2022-11-28,19.90271
2022-11-29,25.91324
2022-11-30,27.32777
2022-12-01,29.52154
2022-12-02,23.66487
2022-12-03,4.51161
2022-12-04,4.0798
2022-12-05,19.4312
2022-12-06,16.46317
2022-12-07,16.72622
2022-12-08,13.30653
2022-12-09,12.28409
2022-12-10,2.95314
2022-12-11,5.53901
2022-12-12,14.18006
2022-12-13,13.51002
2022-12-14,14.82032
2022-12-15,10.59658
2022-12-16,13.20726
2022-12-17,2.96803
2022-12-18,2.69009
2022-12-19,12.05578
2022-12-20,16.60214
2022-12-21,11.48501
2022-12-22,14.55231
2022-12-23,12.85487
2022-12-24,3.35517
2022-12-25,2.86877
2022-12-26,13.12289
2022-12-27,13.81774
2022-12-28,14.12547
2022-12-29,12.59678
2022-12-30,4.80941
2022-12-31,2.02005
2023-01-01,2.34266
2023-01-02,10.77526
2023-01-03,10.43279
2023-01-04,9.03811
2023-01-05,11.41056
2023-01-06,12.16001
2023-01-07,2.72483
2023-01-08,2.70498
2023-01-09,10.91919
2023-01-10,9.99602
2023-01-11,10.45761
2023-01-12,20.02183
2023-01-13,19.74389
2023-01-14,3.44947
2023-01-15,3.37006
2023-01-16,12.49751
2023-01-17,14.89974
2023-01-18,15.74349
2023-01-19,15.09827
2023-01-20,12.58685
2023-01-21,2.44192
2023-01-22,1.63787
2023-01-23,1.7967
2023-01-24,2.32777
2023-01-25,11.85229
2023-01-26,10.35834
2023-01-27,14.27933
2023-01-28,3.10204
2023-01-29,2.90351
2023-01-30,13.37105
2023-01-31,12.46277
2023-02-01,12.80524
2023-02-02,17.69902
2023-02-03,11.77288
2023-02-04,2.6206
2023-02-05,2.42703
2023-02-06,11.01846
2023-02-07,9.97617
2023-02-08,9.6486
2023-02-09,9.41532
2023-02-10,8.36807
2023-02-11,2.42703
2023-02-12,2.08953
2023-02-13,8.40281
2023-02-14,9.11256
2023-02-15,8.54179
2023-02-16,8.50704
2023-02-17,7.84693
2023-02-18,1.89596
2023-02-19,1.80663
2023-02-20,10.20945
2023-02-21,21.26265
2023-02-22,17.37641
2023-02-23,17.55509
2023-02-24,17.47071
2023-02-25,3.97558
2023-02-26,2.85388
2023-02-27,12.09053
2023-02-28,14.98908
2023-03-01,4.39249
2023-03-02,12.96406
2023-03-03,13.38594
2023-03-04,3.00277
2023-03-05,2.30295
2023-03-06,12.3238
2023-03-07,12.0806
2023-03-08,11.06313
2023-03-09,14.06591
2023-03-10,11.25173
2023-03-11,2.66031
2023-03-12,2.21858
2023-03-13,11.29144
2023-03-14,14.61187
2023-03-15,11.90688
2023-03-16,12.50248
2023-03-17,18.62219
2023-03-18,5.26603
2023-03-19,3.43954
2023-03-20,15.02878
2023-03-21,12.19972
2023-03-22,11.40063
2023-03-23,11.9317
2023-03-24,11.31625
2023-03-25,2.89358
2023-03-26,2.21858
2023-03-27,12.41314
2023-03-28,12.43299
2023-03-29,12.54218
2023-03-30,12.99384
2023-03-31,14.61187
2023-04-01,3.24597
2023-04-02,2.68016
2023-04-03,14.74091
2023-04-04,15.35139
2023-04-05,21.50585
2023-04-06,16.27456
2023-04-07,14.48282
2023-04-08,2.80424
2023-04-09,2.92336
2023-04-10,14.86499
2023-04-11,16.77089
2023-04-12,19.17311
2023-04-13,17.32181
2023-04-14,14.60194
2023-04-15,2.66527
2023-04-16,2.48659
2023-04-17,13.10303
2023-04-18,13.09311
2023-04-19,12.70101
2023-04-20,12.5124
2023-04-21,10.7157
2023-04-22,2.50645
2023-04-23,2.43696
2023-04-24,24.17609
2023-04-25,36.71332
2023-04-26,22.96505
2023-04-27,20.8507
2023-04-28,21.66468
2023-04-29,4.7151
2023-04-30,3.57355
2023-05-01,5.3107
2023-05-02,19.4858
2023-05-03,19.06392
2023-05-04,16.36887
2023-05-05,3.4048
2023-05-06,2.87869
2023-05-07,2.7149
2023-05-08,17.54516
2023-05-09,16.17033
2023-05-10,15.3365
2023-05-11,19.69922
2023-05-12,22.29005
2023-05-13,3.98054
2023-05-14,3.27079
2023-05-15,21.1485
2023-05-16,18.9448
2023-05-17,16.11574
2023-05-18,15.52511
2023-05-19,16.90986
2023-05-20,2.73476
2023-05-21,2.60571
2023-05-22,17.2027
2023-05-23,16.65177
2023-05-24,14.90966
2023-05-25,13.70855
