date,채권채무
2022-06-04,19.28571
2022-06-05,20.0
2022-06-06,17.14285
2022-06-07,41.42857
2022-06-08,46.42857
2022-06-09,49.28571
2022-06-10,43.57142
2022-06-11,25.71428
2022-06-12,20.71428
2022-06-13,50.0
2022-06-14,57.14285
2022-06-15,48.57142
2022-06-16,52.14285
2022-06-17,38.57142
2022-06-18,19.28571
2022-06-19,17.85714
2022-06-20,57.85714
2022-06-21,47.85714
2022-06-22,50.0
2022-06-23,37.85714
2022-06-24,35.71428
2022-06-25,27.85714
2022-06-26,12.85714
2022-06-27,41.42857
2022-06-28,49.28571
2022-06-29,46.42857
2022-06-30,52.14285
2022-07-01,40.0
2022-07-02,23.57142
2022-07-03,28.57142
2022-07-04,54.28571
2022-07-05,62.14285
2022-07-06,43.57142
2022-07-07,51.42857
2022-07-08,45.0
2022-07-09,17.14285
2022-07-10,26.42857
2022-07-11,45.0
2022-07-12,55.71428
2022-07-13,40.71428
2022-07-14,52.14285
2022-07-15,35.71428
2022-07-16,15.71428
2022-07-17,8.57142
2022-07-18,36.42857
2022-07-19,46.42857
2022-07-20,56.42857
2022-07-21,48.57142
2022-07-22,39.28571
2022-07-23,18.57142
2022-07-24,15.71428
2022-07-25,37.14285
2022-07-26,35.0
2022-07-27,32.14285
2022-07-28,32.14285
2022-07-29,29.28571
2022-07-30,17.85714
2022-07-31,17.85714
2022-08-01,38.57142
2022-08-02,43.57142
2022-08-03,40.71428
2022-08-04,36.42857
2022-08-05,40.0
2022-08-06,14.28571
2022-08-07,17.85714
2022-08-08,44.28571
2022-08-09,38.57142
2022-08-10,47.14285
2022-08-11,38.57142
2022-08-12,37.14285
2022-08-13,17.85714
2022-08-14,18.57142
2022-08-15,28.57142
2022-08-16,38.57142
2022-08-17,42.14285
2022-08-18,38.57142
2022-08-19,25.71428
2022-08-20,15.71428
2022-08-21,10.0
2022-08-22,45.71428
2022-08-23,36.42857
2022-08-24,42.14285
2022-08-25,48.57142
2022-08-26,46.42857
2022-08-27,10.0
2022-08-28,15.0
2022-08-29,34.28571
2022-08-30,32.85714
2022-08-31,39.28571
2022-09-01,33.57142
2022-09-02,31.42857
2022-09-03,17.14285
2022-09-04,21.42857
2022-09-05,31.42857
2022-09-06,37.14285
2022-09-07,32.14285
2022-09-08,29.28571
2022-09-09,12.85714
2022-09-10,9.28571
2022-09-11,15.0
2022-09-12,20.0
2022-09-13,39.28571
2022-09-14,39.28571
2022-09-15,40.71428
2022-09-16,35.71428
2022-09-17,22.14285
2022-09-18,30.0
2022-09-19,40.71428
2022-09-20,50.71428
2022-09-21,49.28571
2022-09-22,41.42857
2022-09-23,33.57142
2022-09-24,21.42857
2022-09-25,16.42857
2022-09-26,49.28571
2022-09-27,62.14285
2022-09-28,55.71428
2022-09-29,43.57142
2022-09-30,40.0
2022-10-01,30.71428
2022-10-02,25.71428
2022-10-03,37.85714
2022-10-04,42.85714
2022-10-05,51.42857
2022-10-06,42.14285
2022-10-07,47.14285
2022-10-08,13.57142
2022-10-09,31.42857
2022-10-10,29.28571
2022-10-11,55.0
2022-10-12,33.57142
2022-10-13,43.57142
2022-10-14,43.57142
2022-10-15,25.71428
2022-10-16,35.0
2022-10-17,47.14285
2022-10-18,47.14285
2022-10-19,49.28571
2022-10-20,43.57142
2022-10-21,42.14285
2022-10-22,16.42857
2022-10-23,23.57142
2022-10-24,55.0
2022-10-25,67.85714
2022-10-26,56.42857
2022-10-27,60.0
2022-10-28,41.42857
2022-10-29,21.42857
2022-10-30,17.14285
2022-10-31,42.85714
2022-11-01,39.28571
2022-11-02,42.14285
2022-11-03,46.42857
2022-11-04,40.0
2022-11-05,20.0
2022-11-06,21.42857
2022-11-07,32.14285
2022-11-08,35.71428
2022-11-09,38.57142
2022-11-10,33.57142
2022-11-11,45.71428
2022-11-12,15.71428
2022-11-13,26.42857
2022-11-14,46.42857
2022-11-15,43.57142
2022-11-16,61.42857
2022-11-17,45.0
2022-11-18,34.28571
2022-11-19,14.28571
2022-11-20,22.85714
2022-11-21,31.42857
2022-11-22,44.28571
2022-11-23,45.0
2022-11-24,30.0
2022-11-25,35.0
2022-11-26,12.14285
2022-11-27,18.57142
2022-11-28,37.85714
2022-11-29,46.42857
2022-11-30,44.28571
