date,주식시세표
2022-12-30,5.40386
2022-12-31,0.967
2023-01-01,1.59271
2023-01-02,12.51422
2023-01-03,10.01137
2023-01-04,10.86461
2023-01-05,10.69397
2023-01-06,12.79863
2023-01-07,2.78725
2023-01-08,1.59271
2023-01-09,11.43344
2023-01-10,12.11604
2023-01-11,12.11604
2023-01-12,11.20591
2023-01-13,10.97838
2023-01-14,3.12855
2023-01-15,1.76336
2023-01-16,10.52332
2023-01-17,10.97838
2023-01-18,8.36177
2023-01-19,8.75995
2023-01-20,7.79294
2023-01-21,1.3083
2023-01-22,0.91012
2023-01-23,1.53583
2023-01-24,1.99089
2023-01-25,14.84641
2023-01-26,13.36746
2023-01-27,13.59499
2023-01-28,2.73037
2023-01-29,1.99089
2023-01-30,11.66097
2023-01-31,15.07394
2023-02-01,13.36746
2023-02-02,14.05005
2023-02-03,13.93629
2023-02-04,2.84414
2023-02-05,1.6496
2023-02-06,13.36746
2023-02-07,13.02616
2023-02-08,13.53811
2023-02-09,14.73265
2023-02-10,10.97838
2023-02-11,2.73037
2023-02-12,1.87713
2023-02-13,12.00227
2023-02-14,11.20591
2023-02-15,11.77474
2023-02-16,11.8885
2023-02-17,12.45733
2023-02-18,2.44596
2023-02-19,1.47895
2023-02-20,13.19681
2023-02-21,11.8885
2023-02-22,12.9124
2023-02-23,14.78953
2023-02-24,13.25369
2023-02-25,2.38907
2023-02-26,1.59271
2023-02-27,11.37656
2023-02-28,12.40045
2023-03-01,2.90102
2023-03-02,10.80773
2023-03-03,11.37656
2023-03-04,1.70648
2023-03-05,2.73037
2023-03-06,12.45733
2023-03-07,15.13083
2023-03-08,12.9124
2023-03-09,12.68486
2023-03-10,10.52332
2023-03-11,2.9579
2023-03-12,1.59271
2023-03-13,13.76564
2023-03-14,15.24459
2023-03-15,15.24459
2023-03-16,12.85551
2023-03-17,13.25369
2023-03-18,2.27531
2023-03-19,2.16154
2023-03-20,15.47212
2023-03-21,12.28668
2023-03-22,13.93629
2023-03-23,17.40614
2023-03-24,14.73265
2023-03-25,2.67349
2023-03-26,1.6496
2023-03-27,14.44823
2023-03-28,13.70875
2023-03-29,16.2116
2023-03-30,13.65187
2023-03-31,13.08304
2023-04-01,2.73037
2023-04-02,1.82025
2023-04-03,15.18771
2023-04-04,16.2116
2023-04-05,13.82252
