date,실비보험추천
2023-01-04,18.48552
2023-01-05,16.03563
2023-01-06,15.5902
2023-01-07,10.69042
2023-01-08,8.68596
2023-01-09,24.7216
2023-01-10,19.37639
2023-01-11,18.04008
2023-01-12,18.04008
2023-01-13,16.70378
2023-01-14,11.35857
2023-01-15,10.02227
2023-01-16,22.04899
2023-01-17,22.04899
2023-01-18,16.25835
2023-01-19,13.58574
2023-01-20,14.47661
2023-01-21,9.35412
2023-01-22,6.23608
2023-01-23,10.4677
2023-01-24,9.79955
2023-01-25,24.49888
2023-01-26,22.04899
2023-01-27,18.2628
2023-01-28,10.91314
2023-01-29,10.4677
2023-01-30,21.15812
2023-01-31,23.16258
2023-02-01,22.27171
2023-02-02,21.15812
2023-02-03,14.25389
2023-02-04,11.35857
2023-02-05,11.35857
2023-02-06,25.16703
2023-02-07,25.16703
2023-02-08,19.37639
2023-02-09,21.38084
2023-02-10,19.5991
2023-02-11,10.91314
2023-02-12,6.68151
2023-02-13,23.3853
2023-02-14,23.83073
2023-02-15,18.48552
2023-02-16,19.82182
2023-02-17,19.5991
2023-02-18,10.69042
2023-02-19,11.35857
2023-02-20,18.04008
2023-02-21,22.93986
2023-02-22,22.04899
2023-02-23,20.26726
2023-02-24,16.25835
2023-02-25,5.79064
2023-02-26,9.57683
2023-02-27,22.93986
2023-02-28,21.38084
2023-03-01,13.36302
2023-03-02,25.83518
2023-03-03,19.37639
2023-03-04,8.24053
2023-03-05,10.91314
2023-03-06,17.59465
2023-03-07,17.59465
2023-03-08,20.71269
2023-03-09,18.93095
2023-03-10,14.47661
2023-03-11,5.12249
2023-03-12,10.91314
2023-03-13,16.48106
2023-03-14,23.16258
2023-03-15,17.37193
2023-03-16,20.48997
2023-03-17,13.58574
2023-03-18,6.23608
2023-03-19,7.57238
2023-03-20,24.94432
2023-03-21,18.70824
2023-03-22,21.38084
2023-03-23,19.15367
2023-03-24,18.48552
2023-03-25,9.79955
2023-03-26,7.7951
2023-03-27,19.82182
2023-03-28,20.04454
2023-03-29,14.47661
2023-03-30,19.82182
2023-03-31,13.80846
2023-04-01,7.12694
2023-04-02,8.46325
2023-04-03,14.03118
2023-04-04,16.03563
2023-04-05,21.15812
2023-04-06,14.25389
2023-04-07,15.5902
2023-04-08,9.35412
2023-04-09,10.4677
2023-04-10,22.04899
2023-04-11,25.61247
2023-04-12,25.38975
2023-04-13,17.59465
2023-04-14,17.81737
2023-04-15,8.90868
2023-04-16,10.4677
2023-04-17,19.15367
2023-04-18,25.61247
2023-04-19,16.70378
2023-04-20,20.04454
2023-04-21,12.47216
2023-04-22,9.35412
2023-04-23,7.12694
2023-04-24,16.9265
2023-04-25,19.5991
2023-04-26,18.2628
2023-04-27,16.70378
2023-04-28,17.37193
2023-04-29,12.02672
2023-04-30,6.90423
2023-05-01,14.47661
2023-05-02,17.37193
2023-05-03,20.26726
2023-05-04,13.80846
2023-05-05,9.1314
2023-05-06,9.57683
2023-05-07,9.35412
2023-05-08,20.48997
2023-05-09,18.2628
2023-05-10,20.48997
2023-05-11,16.48106
2023-05-12,16.48106
2023-05-13,11.13585
2023-05-14,9.57683
2023-05-15,16.9265
2023-05-16,18.93095
2023-05-17,18.2628
2023-05-18,24.49888
2023-05-19,17.37193
2023-05-20,8.24053
2023-05-21,8.01781
2023-05-22,18.70824
2023-05-23,23.60801
2023-05-24,18.93095
2023-05-25,23.60801
